[2025-12-09 22:23:35.427380] [LOG] App Initialized
[2025-12-09 22:23:35.428456] [LOG] we: [object Array]
[2025-12-09 22:29:05.124738] [LOG] App Initialized
[2025-12-09 22:29:05.126654] [LOG] we: [object Array]
[2025-12-09 22:29:05.288686] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.290010] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.291213] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.292451] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.294063] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.295544] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.297716] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.297866] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.299766] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.301538] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.301607] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.302404] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.304151] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.305666] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.306692] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.307409] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.309557] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.310412] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.313120] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.314496] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.314526] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.317116] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.317165] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.317297] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.319053] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.328029] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.328542] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.329000] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.329370] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.329717] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.330239] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.334379] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.337749] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.338582] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.338840] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.338995] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.339834] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.341425] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.346702] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.346756] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.347481] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.348102] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.348351] [LOG] LOCAL_RESIZE 1280 720
[2025-12-09 22:29:05.348483] [LOG] LOCAL_RESIZE 1280 720
